study_id,study_info,Study_start_date,Study_end_date,country,market,market_code,Roll_start,Roll_end
1,Charmin Forever Roll(FR2),09-23-2019,11-23-2020,USA,CHICAGO,1000,1,19100
1,Charmin Forever Roll(FR2),09-23-2019,11-23-2020,USA,DALLAS,2000,1,19100
